# index   center            radius            left_bound        right_bound
       0     49.0000000000    657.9310200000   -608.9310200000    706.9310200000
       1      0.0000000000    421.9655143000   -421.9655143000    421.9655143000
       2     -6.0000000000    369.9999994000   -375.9999994000    363.9999994000
       3     -4.0000000000    361.9655146000   -365.9655146000    357.9655146000
       4     -4.0000000000    371.9999994000   -375.9999994000    367.9999994000
       5     -6.0000000000    411.9655143000   -417.9655143000    405.9655143000
       6    -18.4852810000    589.4457390000   -607.9310200000    570.9604580000
       7      0.0000000000    425.9655143000   -425.9655143000    425.9655143000
       8      0.0000000000    235.9999986000   -235.9999986000    235.9999986000
       9     -6.0000000000    184.0344867000   -190.0344867000    178.0344867000
      10     -4.0000000000    175.9999989000   -179.9999989000    171.9999989000
      11     -4.0000000000    186.0344867000   -190.0344867000    182.0344867000
      12     -6.0000000000    228.3810608000   -234.3810608000    222.3810608000
      13    -18.4852810000    403.4802333000   -421.9655143000    384.9949523000
      14      0.0000000000    377.6189372000   -377.6189372000    377.6189372000
      15      0.0000000000    190.0344867000   -190.0344867000    190.0344867000
      16     -6.0000000000    138.0689758000   -144.0689758000    132.0689758000
      17     -4.0000000000    130.0344870000   -134.0344870000    126.0344870000
      18     -4.0000000000    140.0689758000   -144.0689758000    136.0689758000
      19     -6.0000000000    182.5197681000   -188.5197681000    176.5197681000
      20    -18.4852810000    357.5147184000   -375.9999994000    339.0294374000
      21      0.0000000000    367.4802332000   -367.4802332000    367.4802332000
      22      0.0000000000    179.9999989000   -179.9999989000    179.9999989000
      23     -6.0000000000    128.0344870000   -134.0344870000    122.0344870000
      24     -4.0000000000    119.9999992000   -123.9999992000    115.9999992000
      25     -4.0000000000    130.0344870000   -134.0344870000    126.0344870000
      26     -6.0000000000    171.6568531000   -177.6568531000    165.6568531000
      27    -18.4852810000    347.4802336000   -365.9655146000    328.9949526000
      28      0.0000000000    378.3431452000   -378.3431452000    378.3431452000
      29      0.0000000000    190.0344867000   -190.0344867000    190.0344867000
      30     -6.0000000000    138.0689758000   -144.0689758000    132.0689758000
      31     -4.0000000000    130.0344870000   -134.0344870000    126.0344870000
      32     -4.0000000000    140.0689758000   -144.0689758000    136.0689758000
      33     -6.0000000000    178.0344867000   -184.0344867000    172.0344867000
      34    -18.4852810000    357.5147184000   -375.9999994000    339.0294374000
      35      0.0000000000    427.9655143000   -427.9655143000    427.9655143000
      36      0.0000000000    235.9999986000   -235.9999986000    235.9999986000
      37     -6.0000000000    184.0344867000   -190.0344867000    178.0344867000
      38     -4.0000000000    175.9999989000   -179.9999989000    171.9999989000
      39     -4.0000000000    186.0344867000   -190.0344867000    182.0344867000
      40     -6.0000000000    193.9620826000   -199.9620826000    187.9620826000
      41    -18.4852810000    403.4802333000   -421.9655143000    384.9949523000
      42      0.0000000000    635.3490959000   -635.3490959000    635.3490959000
      43      0.0000000000    426.9664166000   -426.9664166000    426.9664166000
      44     -6.0000000000    370.0088088000   -376.0088088000    364.0088088000
      45     -4.0000000000    359.2324972000   -363.2324972000    355.2324972000
      46     -4.0000000000    354.7228262000   -358.7228262000    350.7228262000
      47     -6.0000000000    167.5235273000   -173.5235273000    161.5235273000
      48    -18.4852810000    409.7948440000   -428.2801250000    391.3095630000

# real_eigenvalue_interval -635.3490959000 706.9310200000
